(0, 1)
(0, 5)
(1, 1)
(1, 5)
(2, 1)
(2, 5)
(3, 1)
(3, 2)
(3, 5)
(4, 2)
(4, 3)
(4, 4)
(4, 5)
(5, 4)
(5, 5)
(6, 4)
(6, 5)
(7, 4)
(7, 5)
(8, 4)
(8, 5)
(8, 13)
(8, 14)
(9, 4)
(9, 5)
(9, 6)
(9, 7)
(9, 8)
(9, 9)
(9, 10)
(9, 11)
(9, 12)
(9, 13)
(9, 14)
(10, 4)
(10, 7)
(10, 9)
(10, 10)
(10, 11)
(10, 12)
(10, 13)
(10, 14)
(11, 4)
(11, 7)
(11, 11)
(11, 12)
(11, 14)
(12, 4)
(12, 7)
(12, 11)
(12, 12)
(12, 14)
(13, 4)
(13, 7)
(13, 8)
(13, 9)
(13, 10)
(13, 11)
(13, 12)
(13, 14)
(14, 4)
(14, 7)
(14, 8)
(14, 9)
(14, 10)
(14, 11)
(14, 12)
(14, 14)
(15, 4)
(15, 7)
(15, 8)
(15, 9)
(15, 10)
(15, 11)
(15, 12)
(15, 13)
(15, 14)
(16, 4)
(16, 5)
(16, 6)
(16, 7)
(16, 8)
(17, 6)
(17, 7)
(17, 8)
