(0, 7)
(1, 7)
(2, 7)
(3, 7)
(3, 8)
(3, 9)
(3, 10)
(4, 7)
(4, 8)
(4, 9)
(4, 10)
(5, 7)
(6, 7)
(7, 7)
(8, 7)
(9, 7)
(10, 4)
(10, 5)
(10, 7)
(11, 4)
(11, 5)
(11, 7)
(11, 8)
(11, 9)
(11, 10)
(11, 11)
(11, 12)
(11, 13)
(11, 14)
(11, 15)
(12, 4)
(12, 5)
(12, 7)
(12, 8)
(13, 4)
(13, 5)
(13, 7)
(13, 8)
(14, 4)
(14, 5)
(14, 7)
(14, 8)
(15, 3)
(15, 4)
(15, 5)
(15, 7)
(15, 8)
(16, 3)
(16, 5)
(16, 6)
(16, 7)
(16, 8)
(16, 9)
(16, 10)
(16, 11)
(16, 12)
(16, 13)
(16, 14)
(16, 15)
(17, 0)
(17, 1)
(17, 2)
(17, 3)
(17, 4)
(17, 5)
(17, 6)
(17, 7)
(17, 8)
(17, 9)
(17, 10)
(17, 11)
(18, 4)
(18, 5)
(18, 6)
(18, 7)
(18, 8)
(18, 9)
(18, 10)
(18, 11)
(19, 8)
(19, 9)
(19, 10)
