(0, 6)
(0, 13)
(1, 6)
(1, 7)
(1, 8)
(1, 9)
(1, 13)
(2, 3)
(2, 4)
(2, 5)
(2, 6)
(2, 9)
(2, 13)
(3, 3)
(3, 6)
(3, 9)
(3, 13)
(4, 3)
(4, 6)
(4, 9)
(4, 10)
(4, 11)
(4, 12)
(4, 13)
(5, 3)
(5, 6)
(5, 9)
(5, 10)
(5, 12)
(5, 13)
(6, 3)
(6, 6)
(6, 9)
(6, 10)
(6, 11)
(6, 12)
(6, 13)
(7, 0)
(7, 1)
(7, 2)
(7, 3)
(7, 6)
(7, 9)
(7, 10)
(7, 11)
(7, 12)
(7, 13)
(8, 3)
(8, 4)
(8, 5)
(8, 6)
(8, 9)
(8, 10)
(8, 11)
(8, 12)
(8, 13)
(8, 14)
(8, 15)
(8, 16)
(8, 17)
(8, 18)
(9, 3)
(9, 8)
(9, 9)
(9, 10)
(9, 11)
(9, 18)
(10, 3)
(10, 4)
(10, 5)
(10, 6)
(10, 7)
(10, 8)
(10, 9)
(10, 10)
(10, 18)
(11, 3)
(11, 18)
(12, 3)
(12, 18)
(13, 3)
(13, 18)
(13, 19)
(14, 3)
(15, 3)
(16, 3)
(17, 3)
